,complaint_type,text,labels
315,SEWER,sewer break,20
8,OTHER,carbon monoxide,16
2188,AIR QUALITY,ventilation,0
2128,TREE,tree entire fallen,23
650,TRAFFIC,veh signal lens,22
1172,VIOLATION OF PARK RULES,trail biking rollerblading cycling path,24
2610,DCA / DOH NEW LICENSE APPLICATION REQUEST,full term mobile food packaging vendor license,4
1944,SANITATION,law,18
609,DCA / DOH NEW LICENSE APPLICATION REQUEST,laundry jobber license,4
1079,ELECTRICAL,illume,8
1921,SANITATION,Dead animals,18
248,STREET CONDITION,fixture luminaire position,21
2307,SEWER,sewer,20
994,CONSTRUCTION SAFETY ENFORCEMENT,csc monitoring tracking,2
1736,HAZARDOUS MATERIALS,problem hazmat,10
1536,SCRIE,report tac,19
1379,DOF PARKING - PAYMENT ISSUE,card dof call number,5
1493,SCRIE,application tests,19
826,CONSUMER COMPLAINT,advance fee,3
507,VIOLATION OF PARK RULES,unlicensed vendors,24
359,PLUMBING,request open hydrant,17
2403,FOOD ESTABLISHMENT,food worker,9
1147,VIOLATION OF PARK RULES,use constructed lawn,24
988,CONSTRUCTION SAFETY ENFORCEMENT,best low rise wireless tracking complaint,2
1577,WATER CONSERVATION,Water meter defective leaking,25
2047,NOISE,noise noise author,15
685,CONSTRUCTION,safety inspection retaining walls,1
1322,ILLEGAL PARKING,roof blocked bike lane,13
1624,WATER CONSERVATION,illegal hose use residence private,25
1333,ILLEGAL PARKING,blocked flow,13
1511,SCRIE,initial practical application,19
908,MAINTENANCE OR FACILITY,garbage bin litter,14
706,PLUMBING,basement,17
1728,OTHER,Buzzer bell intercom,16
2196,AIR QUALITY,air traffic air problem,0
1763,HAZARDOUS MATERIALS,dry chemical abandoned,10
1005,CONSTRUCTION SAFETY ENFORCEMENT,sweep,2
1994,NOISE,noise construction lighting equipment,15
1296,HIGHWAY CONDITION,grass high,11
2379,SEWER,eye plate moved exposing hole,20
1902,DOF PROPERTY - PAYMENT ISSUE,refund credit cards,6
135,VIOLATION OF PARK RULES,obstructing public use,24
582,TRAFFIC,tie rods,22
2488,HPD LITERATURE REQUEST,bulletin heat,12
1622,WATER CONSERVATION,illegal possession private residence,25
2350,SEWER,catch search,20
1403,DOF PARKING - PAYMENT ISSUE,wrong ticket,5
2000,NOISE,Construction noise equipment,15
1517,SCRIE,copy approval service,19
1139,VIOLATION OF PARK RULES,public,24
877,HPD LITERATURE REQUEST,abcs housing korean,12
661,STREET CONDITION,fire globe missing,21
2371,SEWER,dog planet,20
680,PLUMBING,puddle ground,17
1839,DOF PROPERTY - PAYMENT ISSUE,pursuit dispute,6
2062,NOISE,horn hat requested,15
1223,HIGHWAY CONDITION,bedding material,11
1003,CONSTRUCTION SAFETY ENFORCEMENT,house sweep,2
914,MAINTENANCE OR FACILITY,hours operation,14
446,CONSUMER COMPLAINT,credit card limitations posted,3
396,CONSTRUCTION,smoking ban smoking construction site,1
641,PLUMBING,high water pressure,17
2326,SEWER,manhole analysis report,20
2198,AIR QUALITY,air air space,0
1145,VIOLATION OF PARK RULES,Barriers public use,24
286,DOF PROPERTY - REDUCTION ISSUE,commercial profit exemption,7
1314,ILLEGAL PARKING,commercial overnight parking,13
2365,SEWER,nose odor,20
219,STREET CONDITION,lamppost base door cover missing,21
559,CONSUMER COMPLAINT,labor violation,3
1420,DOF PARKING - PAYMENT ISSUE,card dof medical confirmation program number issued,5
1479,SCRIE,scrie recertification,19
257,STREET CONDITION,lamppost damaged,21
1278,HIGHWAY CONDITION,loose eyes,11
2337,SEWER,Catchment basins clog floods,20
766,CONSUMER COMPLAINT,scrap metal processor,3
708,DCA / DOH NEW LICENSE APPLICATION REQUEST,pawn broker license,4
1930,SANITATION,grey dirty sidewalk,18
903,CONSUMER COMPLAINT,bingo hall,3
2630,DCA / DOH NEW LICENSE APPLICATION REQUEST,laundry service,4
1332,ILLEGAL PARKING,sodium blocked hydrant,13
1874,DOF PROPERTY - PAYMENT ISSUE,payment posted,6
666,DCA / DOH NEW LICENSE APPLICATION REQUEST,amusement arcade license,4
540,HPD LITERATURE REQUEST,neighborhood entrepreneurs program guide,12
1682,OTHER,floor signage,16
2138,TREE,one single address,23
634,HPD LITERATURE REQUEST,housing quality standards inspections faqs english,12
1043,CONSTRUCTION SAFETY ENFORCEMENT,dm tracking department,2
2118,TREE,dead fig tree,23
470,TRAFFIC,hangers,22
0,PLUMBING,shower stall,17
1796,HAZARDOUS MATERIALS,nearby oil tanker spill street small,10
2259,DOF PROPERTY - REDUCTION ISSUE,commercial,7
1766,HAZARDOUS MATERIALS,unsafe nuclear property,10
1347,ILLEGAL PARKING,double angle blocking,13
1200,VIOLATION OF PARK RULES,unauthorized shoot film,24
1110,ELECTRICAL,wiring,8
389,CONSUMER COMPLAINT,cars parked sidewalk street,3
617,STREET CONDITION,wood pole missing,21
1399,DOF PARKING - PAYMENT ISSUE,settlement reduction shew,5
2121,TREE,Dead branches,23
1374,ILLEGAL PARKING,overnight light running,13
220,SANITATION,litter basket improper use,18
168,STREET CONDITION,street light dayburning,21
1898,DOF PROPERTY - PAYMENT ISSUE,currency refund credit info free status,6
1135,ELECTRICAL,electrical enforcement study gild,8
20,ELECTRICAL,lighting,8
2166,AIR QUALITY,air fumes idling,0
911,MAINTENANCE OR FACILITY,garbage bedding material,14
2388,FOOD ESTABLISHMENT,bare hands contact w eat food,9
237,FOOD ESTABLISHMENT,food contaminated,9
1180,VIOLATION OF PARK RULES,chain smoking,24
498,MAINTENANCE OR FACILITY,broken glass,14
598,VIOLATION OF PARK RULES,biking rollerblading path,24
2546,CONSTRUCTION,lobby floor,1
1840,DOF PROPERTY - PAYMENT ISSUE,dispute interest,6
1331,ILLEGAL PARKING,sea hydrant,13
2612,DCA / DOH NEW LICENSE APPLICATION REQUEST,full term mobile bakery food vendor license,4
1041,CONSTRUCTION SAFETY ENFORCEMENT,csc Full demo tracking,2
2224,AIR QUALITY,smoke air,0
1242,HIGHWAY CONDITION,old graffiti highway,11
2624,DCA / DOH NEW LICENSE APPLICATION REQUEST,contractor home improvement license,4
612,STREET CONDITION,wood pole damaged,21
369,TRAFFIC,door,22
624,VIOLATION OF PARK RULES,unauthorized film shoot,24
1116,ELECTRICAL,turbine power outage,8
424,ILLEGAL PARKING,double parked blocking vehicle,13
976,MAINTENANCE OR FACILITY,Sighting rodent,14
108,SEWER,catch basin clogged flooding,20
1329,ILLEGAL PARKING,Cycle lane closed,13
633,DCA / DOH NEW LICENSE APPLICATION REQUEST,electronics home appliance service dealer license,4
1555,WATER CONSERVATION,entertainment media,25
1866,DOF PROPERTY - PAYMENT ISSUE,indicates incorrect amount paid,6
2485,HPD LITERATURE REQUEST,fisheries bulletin,12
201,WATER CONSERVATION,water meter broken leaking,25
2172,AIR QUALITY,air smoke factory residential,0
1707,OTHER,gas,16
1532,SCRIE,air tac report,19
234,DCA / DOH NEW LICENSE APPLICATION REQUEST,full term mobile food unit permit,4
1343,ILLEGAL PARKING,parking license improper usance,13
2344,SEWER,catch basin damaged raised sunken,20
1032,CONSTRUCTION SAFETY ENFORCEMENT,compliance construction safety action,2
855,DCA / DOH NEW LICENSE APPLICATION REQUEST,booting company license,4
2491,HPD LITERATURE REQUEST,tenant status disputes see,12
1932,SANITATION,dirty gravel sidewalk,18
2518,HPD LITERATURE REQUEST,new lead contract waiver requirements,12
167,DOF PARKING - PAYMENT ISSUE,waive penalty late payment,5
2513,HPD LITERATURE REQUEST,hpd guide programs services,12
1161,VIOLATION OF PARK RULES,unsafe use playground,24
2067,TREE,cracked fall,23
50,HPD LITERATURE REQUEST,tenant landlord disputes brochure english,12
1506,SCRIE,initial completion application,19
1299,ILLEGAL PARKING,blocked,13
663,DOF PROPERTY - REDUCTION ISSUE,personal military relief exemption,7
946,MAINTENANCE OR FACILITY,structure indoors,14
337,TREE,tree trunk split,23
110,TREE,dead dying tree,23
1234,HIGHWAY CONDITION,highway bridge fence,11
10,CONSTRUCTION,doors,1
1002,CONSTRUCTION SAFETY ENFORCEMENT,cse sweep,2
91,SANITATION,loose rubbish,18
2563,CONSTRUCTION,prisoners escape,1
93,CONSTRUCTION,cons contrary beyond approved plans permits,1
192,NOISE,noise noise sources,15
2495,HPD LITERATURE REQUEST,tenant landlord scrap brochure spanish,12
1527,SCRIE,assorted,19
2478,HPD LITERATURE REQUEST,mitchell Ferguson list,12
2239,DOF PROPERTY - REDUCTION ISSUE,commercial freedom,7
871,DCA / DOH NEW LICENSE APPLICATION REQUEST,tow truck exemption license,4
2507,HPD LITERATURE REQUEST,general certificate programs services,12
2435,FOOD ESTABLISHMENT,host animal,9
400,ILLEGAL PARKING,blocked sidewalk,13
2304,DOF PROPERTY - REDUCTION ISSUE,homestead,7
1309,ILLEGAL PARKING,employee pay sign violation,13
2070,TREE,branch drop,23
1414,DOF PARKING - PAYMENT ISSUE,card charged,5
2528,HPD LITERATURE REQUEST,housing education course guide program,12
2312,SEWER,Backup sewer,20
693,TRAFFIC,wireless antenna,22
2605,PLUMBING,bathroom sink,17
1956,SANITATION,illegal postering,18
462,STREET CONDITION,plate condition anti skid,21
1966,SANITATION,litter stains,18
668,WATER CONSERVATION,illegal use hose private residence,25
1391,DOF PARKING - PAYMENT ISSUE,waive penalization late payment,5
1969,SANITATION,Waste monitoring,18
1861,DOF PROPERTY - PAYMENT ISSUE,irs agency files,6
2038,NOISE,noise air conditioning condition equip commercial,15
2193,AIR QUALITY,Ventilation,0
250,DOF PROPERTY - PAYMENT ISSUE,unresolved agency charge,6
1559,WATER CONSERVATION,knock faucetssinksflushometerurinaletc private manse,25
2530,CONSTRUCTION,locks,1
853,TRAFFIC,expressway sign,22
2153,AIR QUALITY,chemical vapours gases odours,0
2275,DOF PROPERTY - REDUCTION ISSUE,net profit exemption,7
1312,ILLEGAL PARKING,posted violation parking sign,13
830,DCA / DOH NEW LICENSE APPLICATION REQUEST,motion picture operator license,4
1724,OTHER,bell buzzer ringing intercom,16
2535,CONSTRUCTION,ignition lock,1
1037,CONSTRUCTION SAFETY ENFORCEMENT,csc uniform term tracking,2
719,CONSUMER COMPLAINT,missing complaint sign,3
1598,WATER CONSERVATION,rooftank issue tracker,25
522,PLUMBING,plumbing enforcement work order,17
1483,SCRIE,free application ar,19
1997,NOISE,miscellaneous construction equipment,15
407,TRAFFIC,chronic speeding,22
1769,HAZARDOUS MATERIALS,Unsafe chemical abandoned,10
967,MAINTENANCE OR FACILITY,locoweed weeds,14
2483,HPD LITERATURE REQUEST,heat ge,12
1293,HIGHWAY CONDITION,purple grass,11
1801,HAZARDOUS MATERIALS,Oil spill road small,10
1634,WATER CONSERVATION,water return meter stolen missing,25
1378,DOF PARKING - PAYMENT ISSUE,card dof confirmation order number issued,5
2490,HPD LITERATURE REQUEST,tenant disputes landlord internal disputes brochure contains spanish,12
1431,DOF PARKING - PAYMENT ISSUE,mailed reflect,5
292,HIGHWAY CONDITION,graffiti highway,11
2265,DOF PROPERTY - REDUCTION ISSUE,Exemption commercial purposes,7
841,CONSTRUCTION,damage assessment request,1
2385,SEWER,Plate missing postponed unveiling hole,20
990,CONSTRUCTION SAFETY ENFORCEMENT,best low rise new site,2
35,PLUMBING,leak,17
557,TRAFFIC,warning buzzer,22
1351,ILLEGAL PARKING,doubly parked block traffic,13
2315,SEWER,street,20
1548,SCRIE,microsoft application appeal,19
1891,DOF PROPERTY - PAYMENT ISSUE,amount owed given,6
1451,DOF PARKING - PAYMENT ISSUE,pv poll,5
2010,NOISE,noise false alarms,15
991,CONSTRUCTION SAFETY ENFORCEMENT,best low rise trailing ailment,2
1281,HIGHWAY CONDITION,Loose plate,11
1229,HIGHWAY CONDITION,pothole breaker,11
2565,CONSTRUCTION,escape escape,1
2074,TREE,whole block,23
1705,OTHER,Caretaker,16
2021,NOISE,noise mapping journal noise,15
963,MAINTENANCE OR FACILITY,grass,14
714,CONSUMER COMPLAINT,unrequested services provided,3
21,ELECTRICAL,bell buzzer intercom,8
1275,HIGHWAY CONDITION,hard plate,11
332,DOF PROPERTY - REDUCTION ISSUE,commercial exemption,7
845,TREE,child care information,23
468,AIR QUALITY,air smoke chimney vent,0
1313,ILLEGAL PARKING,Breach parking signs,13
1276,HIGHWAY CONDITION,folding loose plate,11
1401,DOF PARKING - PAYMENT ISSUE,Settlement dismantling revealed,5
1805,HAZARDOUS MATERIALS,outdoor,10
1694,OTHER,smoke cookies,16
2311,SEWER,toilet backup,20
2165,AIR QUALITY,artificial conditioning fumes vehicle dynamics,0
1580,WATER CONSERVATION,water meter stolen missing private party residence,25
1828,DOF PROPERTY - PAYMENT ISSUE,payment made wrong called bbl,6
406,ILLEGAL PARKING,blocked bike lane,13
1593,WATER CONSERVATION,Hydrants used illegally,25
1007,CONSTRUCTION SAFETY ENFORCEMENT,cse slam,2
215,TRAFFIC,push button,22
738,CONSUMER COMPLAINT,furniture store,3
1639,WATER CONSERVATION,water system meter stolen overlook,25
1652,OTHER,apple vermin,16
276,STREET CONDITION,time clock maladjusted,21
495,TRAFFIC,blank matrix sgn,22
126,TRAFFIC,led pedestrian unit,22
505,CONSUMER COMPLAINT,required signage posted,3
1985,SANITATION,Breach Dog Act,18
156,PLUMBING,hydrant defective,17
1492,SCRIE,application renewal,19
2567,CONSTRUCTION,blast escape,1
1128,ELECTRICAL,lighting,8
179,MAINTENANCE OR FACILITY,snow ice,14
2357,SEWER,street depression,20
355,NOISE,noise animals,15
2018,NOISE,noise private carting noise,15
1029,CONSTRUCTION SAFETY ENFORCEMENT,workplace safety take action,2
599,DCA / DOH NEW LICENSE APPLICATION REQUEST,infant formula license,4
282,FOOD ESTABLISHMENT,food spoiled,9
2094,TREE,branch numbering system,23
1362,ILLEGAL PARKING,unauthorized bus stop layover,13
2409,FOOD ESTABLISHMENT,Activities food workers,9
718,TRAFFIC,expy lamp,22
90,STREET CONDITION,sidewalk violation,21
1951,SANITATION,street cond dump fall,18
1709,OTHER,cooking machine,16
388,WATER CONSERVATION,illegal use hose,25
100,SEWER,manhole cover missing,20
2427,FOOD ESTABLISHMENT,food,9
1668,OTHER,samsung janitor super,16
2452,FOOD ESTABLISHMENT,food contaminated,9
1240,HIGHWAY CONDITION,fence highway,11
1844,DOF PROPERTY - PAYMENT ISSUE,consumer status refund,6
4,OTHER,rubbish,16
2353,SEWER,Search catchment basins,20
1699,OTHER,janitor,16
1058,ELECTRICAL,old electric wiring,8
154,SCRIE,scrie application problem,19
2205,AIR QUALITY,air smoke pollution,0
2150,AIR QUALITY,chemical vapors liquid liquid,0
2489,HPD LITERATURE REQUEST,Heatmap,12
1700,OTHER,super janitor super,16
2208,AIR QUALITY,smoke air commercial,0
579,DCA / DOH NEW LICENSE APPLICATION REQUEST,stoop line stand license,4
1950,SANITATION,street address dump drop,18
2445,FOOD ESTABLISHMENT,nuclear facility,9
1895,DOF PROPERTY - PAYMENT ISSUE,amount owe dispute,6
1838,DOF PROPERTY - PAYMENT ISSUE,interest rates,6
1097,ELECTRICAL,Electrical wires defective suspended,8
152,SANITATION,illegal dumping surveillance,18
1503,SCRIE,update tenant information,19
116,FOOD ESTABLISHMENT,food worker activity,9
2415,FOOD ESTABLISHMENT,rodents insects drivel,9
2290,DOF PROPERTY - REDUCTION ISSUE,ideal condo co op abatement,7
1666,OTHER,janitor super,16
995,CONSTRUCTION SAFETY ENFORCEMENT,csc classic plus,2
1780,HAZARDOUS MATERIALS,oil spill street falls large,10
1612,WATER CONSERVATION,illegal energy use hose,25
2177,AIR QUALITY,Air conditioned dwelling,0
1616,WATER CONSERVATION,illegal hose use,25
1909,SANITATION,improper testing,18
2170,AIR QUALITY,air smoke residential,0
759,CONSUMER COMPLAINT,door door sales,3
2295,DOF PROPERTY - REDUCTION ISSUE,condominium co op abatement,7
1,CONSTRUCTION,locks,1
2649,STREET CONDITION,Pothole,21
393,DCA / DOH NEW LICENSE APPLICATION REQUEST,pet store new license,4
1291,HIGHWAY CONDITION,high years,11
1022,CONSTRUCTION SAFETY ENFORCEMENT,excavation images,2
653,AIR QUALITY,air open fire residential,0
2103,TREE,dead die tree,23
2434,FOOD ESTABLISHMENT,pet human animal,9
539,DOF PROPERTY - REDUCTION ISSUE,commercial government exemption,7
1393,DOF PARKING - PAYMENT ISSUE,waiver penalty payment case late payment,5
175,DOF PARKING - PAYMENT ISSUE,settlement reduction shown,5
207,TRAFFIC,led lense,22
1618,WATER CONSERVATION,illegal street use hose private official residence,25
1790,HAZARDOUS MATERIALS,unsafe generator formula,10
1528,SCRIE,miscellaneous,19
203,DOF PROPERTY - REDUCTION ISSUE,personal star exemption,7
902,TRAFFIC,cell,22
769,CONSUMER COMPLAINT,stoop line,3
1209,VIOLATION OF PARK RULES,Unauthorised signage,24
2387,FOOD ESTABLISHMENT,bare leaves w food,9
2559,CONSTRUCTION,door,1
1871,DOF PROPERTY - PAYMENT ISSUE,incorrect quantity paid,6
438,TRAFFIC,sign,22
600,CONSTRUCTION SAFETY ENFORCEMENT,interior demo tracking complaint,2
285,SEWER,catch basin grating missing,20
2071,TREE,branch cracked declination,23
390,TREE,clear street light,23
848,TRAFFIC,marine fixture,22
772,CONSUMER COMPLAINT,restaurant,3
2108,TREE,hitting three power phone lines,23
72,CONSTRUCTION,mail box,1
1504,SCRIE,tenant update information,19
202,DOF PROPERTY - PAYMENT ISSUE,payment shown,6
2416,FOOD ESTABLISHMENT,insects rodents garbage,9
489,ELECTRICAL,electrical enforcement work order,8
1298,ILLEGAL PARKING,blocked sidewalk,13
732,CONSUMER COMPLAINT,garage parking lot,3
992,CONSTRUCTION SAFETY ENFORCEMENT,low best rise complaint tracking,2
7,OTHER,vermin,16
2651,CONSUMER COMPLAINT,p,3
840,HPD LITERATURE REQUEST,housing quality standards inspections faqs spanish,12
1833,DOF PROPERTY - PAYMENT ISSUE,Payment made incorrectly,6
1524,SCRIE,miscellaneous,19
197,DOF PARKING - PAYMENT ISSUE,applied wrong ticket,5
2459,HPD LITERATURE REQUEST,peace without disputes brochure pdf,12
806,PLUMBING,jewelry dentistry torch gas piping removed w permit,17
630,HPD LITERATURE REQUEST,emergency notice,12
837,NOISE,construction hours dep internal use,15
698,STREET CONDITION,sidewalk,21
2131,TREE,fallen uprooted,23
2007,NOISE,noise expression hours,15
796,CONSUMER COMPLAINT,gaming cafe,3
300,STREET CONDITION,line marking repaving,21
1167,VIOLATION OF PARK RULES,unlicenced vendors,24
1975,SANITATION,loose wish wash,18
2096,TREE,limb branch fallen,23
1323,ILLEGAL PARKING,road bike lane,13
985,CONSTRUCTION SAFETY ENFORCEMENT,The best tower block tracking complaint,2
721,AIR QUALITY,air open fire construction demolition,0
2142,TREE,one minute,23
1396,DOF PARKING - PAYMENT ISSUE,settlement price reduction shown,5
636,AIR QUALITY,air odor fumes dry cleaners,0
2309,SEWER,sewer pipe,20
1137,ELECTRICAL,Electrical Enforcement Order,8
490,OTHER,signage missing,16
1189,VIOLATION OF PARK RULES,removing dying plants,24
2048,NOISE,noise noise sources,15
401,PLUMBING,bathtub shower,17
2242,DOF PROPERTY - REDUCTION ISSUE,personal five star exemption,7
1505,SCRIE,Update tenant information,19
1820,DOF PROPERTY - PAYMENT ISSUE,billing certificate issue,6
2521,HPD LITERATURE REQUEST,New guidelines lead rights,12
132,SANITATION,throw,18
566,SEWER,culvert blocked needs cleaning,20
2499,HPD LITERATURE REQUEST,home ownership public,12
1491,SCRIE,application software,19
2633,DCA / DOH NEW LICENSE APPLICATION REQUEST,Laundry licence,4
2456,FOOD ESTABLISHMENT,contaminated food,9
825,CONSTRUCTION,window guards,1
1564,WATER CONSERVATION,water meter broken leaking leaks private residence,25
862,CONSTRUCTION,porch balcony,1
1447,DOF PARKING - PAYMENT ISSUE,individual reflected,5
1230,HIGHWAY CONDITION,pothole cleanup,11
924,MAINTENANCE OR FACILITY,unsecured housing facility,14
909,MAINTENANCE OR FACILITY,garbage farming,14
2453,FOOD ESTABLISHMENT,contaminated,9
1918,SANITATION,dead player,18
409,TREE,planted less years ago,23
2056,NOISE,jack noise hammering,15
754,PLUMBING,fountain gallons,17
1026,CONSTRUCTION SAFETY ENFORCEMENT,construction property safety committee compliance action,2
1991,NOISE,noise barking dog,15
198,STREET CONDITION,glassware broken,21
578,PLUMBING,plate noisy sunken raised,17
2137,TREE,Tree uprooted,23
1617,WATER CONSERVATION,Illegal use hoses,25
2146,AIR QUALITY,chemical vapors gases odors,0
1031,CONSTRUCTION SAFETY ENFORCEMENT,mental synthesis safety obligingness action,2
412,PLUMBING,excessive water basement,17
224,SEWER,manhole overflow,20
1260,HIGHWAY CONDITION,mississippi guard rail highway,11
1638,WATER CONSERVATION,water balloons gone missing,25
1176,VIOLATION OF PARK RULES,rollerblading biking path,24
196,STREET CONDITION,pedestrian ramp defective,21
905,CONSUMER COMPLAINT,utility company,3
1500,SCRIE,update tenant information,19
563,STREET CONDITION,bracket arm broken,21
1753,HAZARDOUS MATERIALS,Oil spill,10
1633,WATER CONSERVATION,Waste taps Dishwasher urinaletc,25
1251,HIGHWAY CONDITION,prey animal,11
1758,HAZARDOUS MATERIALS,chemical portfolio,10
2448,FOOD ESTABLISHMENT,Facility toilet,9
1025,CONSTRUCTION SAFETY ENFORCEMENT,Complaint excavation tracing,2
1626,WATER CONSERVATION,ice wasting ice faucetssinksflushometerurinaletc,25
1554,WATER CONSERVATION,artificial wasting machine faucetssinksflushometerurinaletc factory private mobile residence,25
2063,NOISE,horn honking sign quest,15
42,STREET CONDITION,lamppost wire exposed,21
2068,TREE,branch cracked fall,23
1772,HAZARDOUS MATERIALS,unsafe chemical reaction unknown,10
981,CONSTRUCTION SAFETY ENFORCEMENT,best hot rise tracking design,2
1655,OTHER,varmint,16
1023,CONSTRUCTION SAFETY ENFORCEMENT,dig tracking complaint,2
2030,NOISE,noise pressure ventilation indoors residential,15
2342,SEWER,catch basin level versus raised,20
2635,TRAFFIC,refrain,22
16,ELECTRICAL,electric supply,8
1980,SANITATION,canine violation,18
1358,ILLEGAL PARKING,double car blocking road,13
2209,AIR QUALITY,Air smoking advertisements,0
150,DOF PARKING - PAYMENT ISSUE,card dof confirmation number issued,5
1863,DOF PROPERTY - PAYMENT ISSUE,undetermined agency charge,6
980,CONSTRUCTION SAFETY ENFORCEMENT,best high rise hotel tracking complaint,2
1261,HIGHWAY CONDITION,guard circle highway,11
264,TRAFFIC,support bracket,22
694,PLUMBING,sewer drain,17
2173,AIR QUALITY,air smoke chimney,0
2604,PLUMBING,basin view sink,17
1211,VIOLATION OF PARK RULES,bbq club chicago area,24
1429,DOF PARKING - PAYMENT ISSUE,mailed weekly,5
1890,DOF PROPERTY - PAYMENT ISSUE,amount owed dispute,6
1273,HIGHWAY CONDITION,Dashed line marker,11
1867,DOF PROPERTY - PAYMENT ISSUE,incorrect amount,6
1881,DOF PROPERTY - PAYMENT ISSUE,Payment booked,6
1512,SCRIE,application initial,19
22,NOISE,noise barking dog,15
1000,CONSTRUCTION SAFETY ENFORCEMENT,monitoring csc tracking,2
2595,PLUMBING,water,17
1776,HAZARDOUS MATERIALS,unsafe unknown chemical,10
1629,WATER CONSERVATION,fortune index,25
2540,CONSTRUCTION,martin mold,1
2201,AIR QUALITY,Air problem,0
1021,CONSTRUCTION SAFETY ENFORCEMENT,data tracking complaint,2
1496,SCRIE,renewal application,19
310,FOOD ESTABLISHMENT,dishwashing utensils,9
1063,ELECTRICAL,galvanic wiring,8
417,TRAFFIC,truck route violation,22
62,TREE,bicycle chained tree,23
1070,ELECTRICAL,electric effects,8
1585,WATER CONSERVATION,Water meters stolen missing private home,25
1831,DOF PROPERTY - PAYMENT ISSUE,payment make wrong barrel,6
1567,WATER CONSERVATION,water meter broken leak private manse,25
1864,DOF PROPERTY - PAYMENT ISSUE,Agency unresolved charge,6
884,TRAFFIC,supervisory,22
725,NOISE,private carting,15
704,PLUMBING,flower planters,17
503,CONSTRUCTION,material storage unsafe,1
372,HIGHWAY CONDITION,painted line marking,11
1631,WATER CONSERVATION,rot faucetssinksflushometerurinaletc,25
1658,OTHER,pure carbon monoxide,16
1594,WATER CONSERVATION,rooftank leak overflow,25
555,HPD LITERATURE REQUEST,interruption essential services notice,12
1562,WATER CONSERVATION,old water meter broken leaking private official residence,25
2017,NOISE,Noise alarm,15
1775,HAZARDOUS MATERIALS,dangerous chemical unknown,10
374,FOOD ESTABLISHMENT,food worker illness,9
2268,DOF PROPERTY - REDUCTION ISSUE,personal trainer veteran exemption,7
875,HPD LITERATURE REQUEST,abcs housing haitian creole,12
2115,TREE,four branches tree,23
1938,SANITATION,labor law,18
2112,TREE,power phone hitting lines,23
2206,AIR QUALITY,air substitute commercial,0
896,DCA / DOH NEW LICENSE APPLICATION REQUEST,ticket seller business license application,4
188,WATER CONSERVATION,water meter broken leaking private residence,25
1182,VIOLATION OF PARK RULES,smoking,24
58,SANITATION,street cond dump drop,18
368,TRAFFIC,mast arm,22
258,DOF PROPERTY - REDUCTION ISSUE,commercial exemption,7
2089,TREE,Bicycle Chained Tree,23
831,CONSTRUCTION,initial co,1
2383,SEWER,plate miss moved exposing maw,20
1681,OTHER,Smoke detector,16
2042,NOISE,ambient noise noise sources,15
1663,OTHER,carbon monoxide,16
623,DCA / DOH NEW LICENSE APPLICATION REQUEST,auctioneer license,4
2451,FOOD ESTABLISHMENT,highly contaminated,9
2181,AIR QUALITY,interstate mail construction demolition,0
2140,TREE,one simple address,23
1247,HIGHWAY CONDITION,graffiti highway,11
130,NOISE,noise air condition ventilation equip residential,15
2552,CONSTRUCTION,floor,1
788,HPD LITERATURE REQUEST,participation loan program,12
789,CONSUMER COMPLAINT,pregnancy services center,3
2600,PLUMBING,leaks water,17
453,ILLEGAL PARKING,overnight commercial storage,13
607,TRAFFIC,rtms,22
240,STREET CONDITION,fixture luminaire door open,21
24,HAZARDOUS MATERIALS,hazmat problem,10
740,CONSUMER COMPLAINT,laundry,3
2476,HPD LITERATURE REQUEST,ian mitchell lama housing list,12
2163,AIR QUALITY,air odor sweet cough spray,0
71,CONSTRUCTION,ceramic tile,1
2526,HPD LITERATURE REQUEST,housing education program form,12
1744,HAZARDOUS MATERIALS,chemical release spill,10
1099,ELECTRICAL,outlet band,8
1294,HIGHWAY CONDITION,high scores,11
1640,WATER CONSERVATION,Meter water missing stolen,25
81,SANITATION,litter surveillance,18
940,MAINTENANCE OR FACILITY,melting snow ice,14
1076,ELECTRICAL,central lighting,8
113,PLUMBING,water problem,17
2597,PLUMBING,information leaks,17
2382,SEWER,plate moved exposing piece,20
1157,VIOLATION OF PARK RULES,unsafe use certificate,24
2318,SEWER,street goals,20
2135,TREE,tree list uprooted,23
1013,CONSTRUCTION SAFETY ENFORCEMENT,novi zagreb,2
954,MAINTENANCE OR FACILITY,industrial structure outdoors,14
403,ILLEGAL PARKING,commercial overnight parking,13
1272,HIGHWAY CONDITION,line painted marking,11
2186,AIR QUALITY,regular ventilation,0
2319,SEWER,street flooding,20
2219,AIR QUALITY,air,0
2352,SEWER,Basin catch search,20
710,TRAFFIC,dust cover,22
620,DCA / DOH NEW LICENSE APPLICATION REQUEST,shelter homeless animals license,4
441,ILLEGAL PARKING,unauthorized bus layover,13
863,HAZARDOUS MATERIALS,building collapse fire dep internal use,10
1514,SCRIE,copy approval rating order,19
149,MAINTENANCE OR FACILITY,graffiti vandalism,14
894,TRAFFIC,expy sign fixt cover,22
1472,SCRIE,Assistance scrie,19
1088,ELECTRICAL,Buzzer bell intercom,8
2084,TREE,black bicycle chained tree,23
421,ELECTRICAL,wiring,8
1321,ILLEGAL PARKING,Commercial overnight accommodations,13
2362,SEWER,sewer life odor,20
65,NOISE,noise alarms,15
2266,DOF PROPERTY - REDUCTION ISSUE,active personal veteran exemption,7
513,FOOD ESTABLISHMENT,sodium warning,9
236,TRAFFIC,warning signal lamp,22
